Município,População_residente
PAQUETA,3931
PARNAGUA,10846
PARNAIBA,153863
PASSAGEM FRANCA DO PIAUI,4331
PATOS DO PIAUI,6420
PAU D'ARCO DO PIAUI,4084
PAULISTANA,20583
PAVUSSU,3662
PEDRO II,38812
PEDRO LAURENTINO,2551
NOVA SANTA RITA-PI,4392
PICOS,78627
PIMENTEIRAS,12150
PIO IX,18492
PIRACURUCA,28952
PIRIPIRI,63829
PORTO,12646
PORTO ALEGRE DO PIAUI,2728
PRATA DO PIAUI,3149
QUEIMADA NOVA,9041
REDENCAO DO GURGUEIA,8814
REGENERACAO,17979
RIACHO FRIO,4306
RIBEIRA DO PIAUI,4499
RIBEIRO GONCALVES,7408
RIO GRANDE DO PIAUI,6434
SANTA CRUZ DO PIAUI,6254
SANTA CRUZ DOS MILAGRES,4046
SANTA FILOMENA-PI,6256
SANTA LUZ,5903
SANTANA DO PIAUI,4650
SANTA ROSA DO PIAUI,5254
SANTO ANTONIO DE LISBOA,6466
SANTO ANTONIO DOS MILAGRES,2172
SANTO INACIO DO PIAUI,3809
SAO BRAZ DO PIAUI,4454
SAO FELIX DO PIAUI,2923
SAO FRANCISCO DE ASSIS DO PIAUI,5801
SAO FRANCISCO DO PIAUI,6417
SAO GONCALO DO GURGUEIA,3071
SAO GONCALO DO PIAUI,5044
SAO JOAO DA CANABRAVA,4619
SAO JOAO DA FRONTEIRA,6084
SAO JOAO DA SERRA,6106
SAO JOAO DA VARJOTA,4856
SAO JOAO DO ARRAIAL,8085
SAO JOAO DO PIAUI,20720
SAO JOSE DO DIVINO-PI,5361
SAO JOSE DO PEIXE,3737
SAO JOSE DO PIAUI,6696
SAO JULIAO,6379
SAO LOURENCO DO PIAUI,4581
SAO LUIS DO PIAUI,2648
SAO MIGUEL DA BAIXA GRANDE,2456
SAO MIGUEL DO FIDALGO,3037
SAO MIGUEL DO TAPUIO,17617
SAO PEDRO DO PIAUI,14356
SAO RAIMUNDO NONATO,35035
SEBASTIAO BARROS,3434
SEBASTIAO LEAL,4311
SIGEFREDO PACHECO,10074
SIMOES,14664
SIMPLICIO MENDES,12778
SOCORRO DO PIAUI,4557
SUSSUAPARA,6801
TAMBORIL DO PIAUI,2939
TANQUE DO PIAUI,2781
TERESINA,871126
UNIAO,44649
URUCUI,21746
VALENCA DO PIAUI,20940
VARZEA BRANCA,4930
VARZEA GRANDE-PI,4382
VERA MENDES,3082
VILA NOVA DO PIAUI,2935
WALL FERRAZ,4479
ABAIARA,11965
ACARAPE,15140
ACARAU,63556
ACOPIARA,54687
