Per�odo:Jul/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110140 MONTE NEGRO";72;72;53299,55;41808,57;-;-;11490,98;-;-;740,27;740,27;204;2,8;-;-
"110143 NOVA UNIAO";6;6;2654,92;2293,63;-;-;361,29;-;-;442,49;442,49;35;5,8;-;-
"110145 PARECIS";34;34;9351,41;8022,69;-;-;1328,72;-;-;275,04;275,04;34;1,0;-;-
"110146 PIMENTEIRAS DO OESTE";2;2;91,49;68,99;-;-;22,50;-;-;45,75;45,75;3;1,5;-;-
"110149 SAO FRANCISCO DO GUAPORE";91;91;41735,65;32303,97;-;-;9431,68;-;-;458,63;458,63;183;2,0;-;-
"110150 SERINGUEIRAS";62;62;26240,16;21745,54;-;-;4494,62;-;-;423,23;423,23;182;2,9;-;-
"110155 TEIXEIROPOLIS";6;6;2069,24;1774,87;-;-;294,37;-;-;344,87;344,87;15;2,5;-;-
"110160 THEOBROMA";11;11;4733,98;4098,12;-;-;635,86;-;-;430,36;430,36;88;8,0;-;-
"110170 URUPA";46;46;24811,47;18658,39;-;-;6153,08;-;-;539,38;539,38;116;2,5;-;-
"110175 VALE DO ANARI";8;8;2655,64;2253,42;-;-;402,22;-;-;331,95;331,95;35;4,4;-;-
"110180 VALE DO PARAISO";23;23;8958,00;7849,93;-;-;1108,07;-;-;389,48;389,48;58;2,5;-;-
"120001 ACRELANDIA";20;20;7841,54;6668,31;-;-;1173,23;-;-;392,08;392,08;63;3,1;-;-
"120005 ASSIS BRASIL";53;53;24387,20;19199,52;-;-;5187,68;-;-;460,14;460,14;151;2,8;-;-
"120010 BRASILEIA";305;305;133131,30;98149,03;-;-;34982,27;-;-;436,50;436,50;1057;3,5;6;1,97
"120020 CRUZEIRO DO SUL";1434;1434;676963,20;498012,87;-;-;178950,33;-;-;472,08;472,08;5173;3,6;25;1,74
"120030 FEIJO";105;105;39633,46;29624,18;-;-;10009,28;-;-;377,46;377,46;319;3,0;1;0,95
"120033 MANCIO LIMA";58;58;22743,10;19859,39;-;-;2883,71;-;-;392,12;392,12;188;3,2;-;-
"120034 MANOEL URBANO";50;50;17068,22;13287,33;-;-;3780,89;-;-;341,36;341,36;126;2,5;-;-
"120038 PLACIDO DE CASTRO";27;27;9964,46;7895,42;-;-;2069,04;-;-;369,05;369,05;51;1,9;-;-
"120039 PORTO WALTER";28;28;5056,63;3949,21;-;-;1107,42;-;-;180,59;180,59;25;0,9;-;-
"120040 RIO BRANCO";3166;3166;4559642,29;3564945,06;-;-;994697,23;-;-;1440,19;1440,19;17344;5,5;140;4,42
"120042 RODRIGUES ALVES";40;40;12500,02;10689,46;-;-;1810,56;-;-;312,50;312,50;102;2,5;-;-
"120043 SANTA ROSA DO PURUS";31;31;13725,70;11439,34;-;-;2286,36;-;-;442,76;442,76;63;2,0;-;-
"120045 SENADOR GUIOMARD";72;72;28234,99;24464,83;-;-;3770,16;-;-;392,15;392,15;331;4,6;2;2,78
"120050 SENA MADUREIRA";159;159;57340,58;44483,25;-;-;12857,33;-;-;360,63;360,63;500;3,1;3;1,89
"120060 TARAUACA";181;181;69967,21;54446,86;-;-;15520,35;-;-;386,56;386,56;454;2,5;1;0,55
"120070 XAPURI";59;59;14594,03;12743,41;-;-;1850,62;-;-;247,36;247,36;216;3,7;-;-
"130002 ALVARAES";75;75;34259,37;24178,93;-;-;10080,44;-;-;456,79;456,79;252;3,4;-;-
"130006 AMATURA";49;49;23820,15;16831,62;-;-;6988,53;-;-;486,13;486,13;136;2,8;-;-
"130008 ANAMA";130;130;44580,73;34898,63;-;-;9682,10;-;-;342,93;342,93;364;2,8;-;-
"130010 ANORI";136;136;54882,75;45579,48;-;-;9303,27;-;-;403,55;403,55;295;2,2;-;-
"130014 APUI";81;81;39337,65;28706,80;-;-;10630,85;-;-;485,65;485,65;267;3,3;-;-
"130020 ATALAIA DO NORTE";66;66;26677,75;20991,00;-;-;5686,75;-;-;404,21;404,21;159;2,4;1;1,52
"130030 AUTAZES";114;114;61321,10;43234,99;-;-;18086,11;-;-;537,90;537,90;296;2,6;-;-
"130040 BARCELOS";90;90;43208,19;32778,23;-;-;10429,96;-;-;480,09;480,09;381;4,2;3;3,33
"130050 BARREIRINHA";148;148;60855,54;45330,67;-;-;15524,87;-;-;411,19;411,19;487;3,3;1;0,68
"130060 BENJAMIN CONSTANT";163;163;90815,82;64458,42;-;-;26357,40;-;-;557,15;557,15;381;2,3;2;1,23
"130063 BERURI";75;75;27185,04;20073,24;-;-;7111,80;-;-;362,47;362,47;173;2,3;1;1,33
