Per�odo:Jan/2024
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"211070 SAO DOMINGOS DO MARANHAO";132;132;70936,32;51929,60;-;-;19006,72;-;-;537,40;537,40;393;3,0;-;-
"211080 SAO FELIX DE BALSAS";37;37;12388,19;10788,75;-;-;1599,44;-;-;334,82;334,82;91;2,5;-;-
"211085 SAO FRANCISCO DO BREJAO";33;33;12841,49;11362,73;-;-;1478,76;-;-;389,14;389,14;69;2,1;-;-
"211090 SAO FRANCISCO DO MARANHAO";55;55;27915,23;24429,18;-;-;3486,05;-;-;507,55;507,55;148;2,7;-;-
"211100 SAO JOAO BATISTA";117;117;34394,40;29468,11;-;-;4926,29;-;-;293,97;293,97;305;2,6;-;-
"211102 SAO JOAO DO CARU";39;39;12442,00;9328,64;-;-;3113,36;-;-;319,03;319,03;69;1,8;-;-
"211107 SAO JOAO DO SOTER";98;98;29185,48;24723,84;-;-;4461,64;-;-;297,81;297,81;282;2,9;-;-
"211110 SAO JOAO DOS PATOS";116;116;42247,33;36860,11;-;-;5387,22;-;-;364,20;364,20;227;2,0;-;-
"211120 SAO JOSE DE RIBAMAR";470;470;253152,29;162050,31;-;-;91101,98;-;-;538,62;538,62;1137;2,4;-;-
"211130 SAO LUIS";10782;10414;21763427,07;17226153,51;-;-;4537273,56;-;-;2018,50;2089,82;96398;9,3;550;5,28
"211140 SAO LUIS GONZAGA DO MARANHAO";175;175;48340,15;40890,87;-;-;7449,28;-;-;276,23;276,23;527;3,0;-;-
"211150 SAO MATEUS DO MARANHAO";233;233;90855,46;67743,54;-;-;23111,92;-;-;389,94;389,94;565;2,4;5;2,15
"211153 SAO PEDRO DA AGUA BRANCA";63;63;21276,01;18266,37;-;-;3009,64;-;-;337,71;337,71;118;1,9;-;-
"211157 SAO PEDRO DOS CRENTES";92;92;29672,33;22860,31;-;-;6812,02;-;-;322,53;322,53;459;5,0;-;-
"211160 SAO RAIMUNDO DAS MANGABEIRAS";104;104;66212,02;54407,82;-;-;11804,20;-;-;636,65;636,65;305;2,9;-;-
"211163 SAO RAIMUNDO DO DOCA BEZERRA";15;15;1230,76;1008,84;-;-;221,92;-;-;82,05;82,05;11;0,7;-;-
"211170 SAO VICENTE FERRER";99;99;32361,83;26834,03;-;-;5527,80;-;-;326,89;326,89;219;2,2;-;-
"211172 SATUBINHA";42;42;18039,87;14912,21;-;-;3127,66;-;-;429,52;429,52;97;2,3;-;-
"211174 SENADOR ALEXANDRE COSTA";44;44;16119,38;12628,70;-;-;3490,68;-;-;366,35;366,35;91;2,1;-;-
"211178 SERRANO DO MARANHAO";100;100;33281,87;28982,71;-;-;4299,16;-;-;332,82;332,82;258;2,6;-;-
"211180 SITIO NOVO";105;105;40366,01;31853,65;-;-;8512,36;-;-;384,44;384,44;274;2,6;2;1,90
"211190 SUCUPIRA DO NORTE";48;48;16469,36;13934,80;-;-;2534,56;-;-;343,11;343,11;104;2,2;1;2,08
"211195 SUCUPIRA DO RIACHAO";12;12;4625,99;4020,88;-;-;605,11;-;-;385,50;385,50;31;2,6;-;-
"211200 TASSO FRAGOSO";28;28;8593,68;7438,22;-;-;1155,46;-;-;306,92;306,92;112;4,0;-;-
"211210 TIMBIRAS";260;260;141659,49;104186,06;-;-;37473,43;-;-;544,84;544,84;864;3,3;6;2,31
"211220 TIMON";670;670;589026,94;440587,24;-;-;148439,70;-;-;879,14;879,14;3214;4,8;29;4,33
